experiment,variant,param,value,unit
latency,chase,4,2.071,ns_per_load
latency,chase,8,2.121,ns_per_load
latency,chase,16,2.118,ns_per_load
latency,chase,32,2.142,ns_per_load
latency,chase,64,6.514,ns_per_load
latency,chase,128,6.180,ns_per_load
latency,chase,256,6.009,ns_per_load
latency,chase,512,6.469,ns_per_load
latency,chase,1024,7.116,ns_per_load
latency,chase,2048,22.271,ns_per_load
latency,chase,4096,34.236,ns_per_load
latency,chase,8192,36.131,ns_per_load
latency,chase,16384,42.433,ns_per_load
latency,chase,32768,46.677,ns_per_load
latency,chase,65536,123.050,ns_per_load
latency,chase,131072,129.906,ns_per_load
latency,chase,262144,132.896,ns_per_load
latency,chase,524288,144.167,ns_per_load
stride,sum,1,0.656,ns_per_element
stride,sum,1,5.249,ns_per_cacheline
stride,sum,2,1.091,ns_per_element
stride,sum,2,4.365,ns_per_cacheline
stride,sum,4,2.128,ns_per_element
stride,sum,4,4.255,ns_per_cacheline
stride,sum,8,3.813,ns_per_element
stride,sum,8,3.813,ns_per_cacheline
stride,sum,16,7.390,ns_per_element
stride,sum,16,7.390,ns_per_cacheline
stride,sum,32,8.977,ns_per_element
stride,sum,32,8.977,ns_per_cacheline
stride,sum,64,10.050,ns_per_element
stride,sum,64,10.050,ns_per_cacheline
layout,narrow_aos,8000000,6.824,ns_per_row
layout,narrow_soa,8000000,0.667,ns_per_row
layout,narrow_aos,8000000,15.24,GB_per_s_moved
layout,narrow_soa,8000000,18.00,GB_per_s_moved
layout,narrow_speedup,8000000,10.24,x
layout,wide_aos,8000000,11.516,ns_per_row
layout,wide_soa,8000000,7.101,ns_per_row
layout,wide_speedup,8000000,1.62,x
numpy,structured_fields,8000000,9.904,ns_per_row
numpy,contiguous_arrays,8000000,2.300,ns_per_row
numpy,speedup,8000000,4.31,x
numpy,one_off_field_copy,8000000,5.093,ns_per_row
